Sample,Room_Number,Abundance,location,Room_Type,Time,Kingdom,Phlylum,Class,Order,Family,Genus
R3T0_AD,3,0.289221156,AirDuct,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T0_IB,3,0.169167804,Inside-Blind,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T0_OB,3,0.096317773,Outside-Blind,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T0_W,3,0.561174912,Window,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T1_AD,3,0.202679865,AirDuct,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T1_AF,3,0.086688147,AirFilter,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T1_IB,3,0.029052231,Inside-Blind,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T1_OB,3,0.088068182,Outside-Blind,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T1_P,3,0.066012187,Palm,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T1_SA,3,0,Saliva,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T1_W,3,0.088483771,Window,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T2_AD,3,0.463260181,AirDuct,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T2_IB,3,0.01763375,Inside-Blind,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T2_OB,3,0.105231249,Outside-Blind,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T2_W,3,0.45124645,Window,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T3_AD,3,0.271396792,AirDuct,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T3_AF,3,0.00033761,AirFilter,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T3_IB,3,0.020551763,Inside-Blind,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T3_OB,3,0.16219677,Outside-Blind,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T3_P,3,0,Palm,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T3_SA,3,0,Saliva,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R3T3_W,3,0.391511575,Window,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R4T0_AD,4,0.000957854,AirDuct,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R4T1_AD,4,0.09760293,AirDuct,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T0_AD,5,0.213793588,AirDuct,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T0_IB,5,0.254828427,Inside-Blind,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T0_OB,5,0.053364168,Outside-Blind,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T0_W,5,0.47556391,Window,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T1_AD,5,0.127759839,AirDuct,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T1_AF,5,0.148697766,AirFilter,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T1_IB,5,0.006295519,Inside-Blind,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T1_OB,5,0.093151012,Outside-Blind,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T1_P,5,0.088001514,Palm,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T1_SA,5,0,Saliva,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T1_W,5,0.039294306,Window,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T2_AD,5,0.235952829,AirDuct,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T2_IB,5,0.340731346,Inside-Blind,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T2_OB,5,0.288012584,Outside-Blind,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T2_W,5,0.292099871,Window,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T3_AD,5,0.160412994,AirDuct,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T3_AF,5,0,AirFilter,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T3_IB,5,0.006530721,Inside-Blind,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T3_OB,5,0.116939365,Outside-Blind,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T3_P,5,0.056639075,Palm,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T3_SA,5,0,Saliva,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R5T3_W,5,0.223949266,Window,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T1_AD,6,0.260832625,AirDuct,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T1_AF,6,0,AirFilter,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T1_IB,6,0.413528212,Inside-Blind,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T1_OB,6,0.199370746,Outside-Blind,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T1_P,6,0.998197336,Palm,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T1_SA,6,0.000351927,Saliva,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T1_W,6,0.321490791,Window,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T2_AD,6,0.343673161,AirDuct,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T2_IB,6,0.008688668,Inside-Blind,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T2_OB,6,0.119591126,Outside-Blind,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T2_W,6,0.262914965,Window,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T3_AD,6,0.275700488,AirDuct,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T3_AF,6,0.201772764,AirFilter,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T3_IB,6,0.062800077,Inside-Blind,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T3_OB,6,0.16858427,Outside-Blind,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T3_P,6,0.609647033,Palm,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T3_SA,6,0.000335828,Saliva,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R6T3_W,6,0.343688428,Window,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T0_AD,1,0.401969837,AirDuct,View,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
