PID,Room_Number,Sample,Room_Type,Time,LogC,Copy No.uL
WR5T0,5,AirDuct,View,T0,3.583901552,3836.202743
WR5T1,5,AirDuct,View,T1,3.793658131,6218.106143
WR5T2,5,AirDuct,View,T2,3.336526783,2170.335046
WR5T3,5,AirDuct,View,T3,3.303541838,2011.600977
WR6T1,6,AirDuct,View,T1,1.544068044,35
WR6T2,6,AirDuct,View,T2,1.544068044,35
WR6T3,6,AirDuct,View,T3,1.544068044,35
RR1T0,1,Blinds,Regular,T0,3.378546249,2390.816527
RR1T1,1,Blinds,Regular,T1,3.085280553,1216.971908
RR1T2,1,Blinds,Regular,T2,2.654166116,450.9891727
RR1T3,1,Blinds,Regular,T3,2.824732948,667.933073
RR2T0,2,Blinds,Regular,T0,3.725828932,5318.987038
RR2T1,2,Blinds,Regular,T1,2.648522565,445.1665921
RR2T2,2,Blinds,Regular,T2,3.762060237,5781.762354
RR2T3,2,Blinds,Regular,T3,3.689538394,4892.585165
RR3T0,3,Blinds,Regular,T0,2.425938918,266.6483608
RR3T1,3,Blinds,Regular,T1,4.27992177,19051.17514
RR3T2,3,Blinds,Regular,T2,5.003151605,100728.3233
RR3T3,3,Blinds,Regular,T3,3.980094942,9552.013823
RR4T0,4,Blinds,Regular,T0,2.622430302,419.2087142
RR4T1,4,Blinds,Regular,T1,2.592284904,391.0973781
RR5T0,5,Blinds,Regular,T0,3.503665152,3189.078075
RR5T1,5,Blinds,Regular,T1,4.050226991,11226.05048
RR5T2,5,Blinds,Regular,T2,2.780433313,603.1610839
RR5T3,5,Blinds,Regular,T3,3.313500926,2058.26328
RR6T1,6,Blinds,Regular,T1,2.143833968,139.2624296
RR6T2,6,Blinds,Regular,T2,3.523419102,3337.483306
RR6T3,6,Blinds,Regular,T3,2.944977281,881.0027837
RR1T1,1,Palm,Regular,T1,3.998428016,9963.869154
RR1T3,1,Palm,Regular,T3,3.080013201,1202.300979
RR2T1,2,Palm,Regular,T1,4.036567374,10878.45888
RR2T3,2,Palm,Regular,T3,2.890963634,777.9714049
RR3T1,3,Palm,Regular,T1,5.555778645,359566.0213
