Day,Time,Condition,Envir,Reading,PID
T0,15:15:00,View,co2,522.7,WR4
T0,15:30:00,View,co2,477.5,WR4
T0,15:45:00,View,co2,469.8,WR4
T0,16:00:00,View,co2,484.7,WR4
T0,16:15:00,View,co2,504.6,WR4
T0,16:30:00,View,co2,486.7,WR4
T0,16:45:00,View,co2,473.2,WR4
T0,17:00:00,View,co2,461.1,WR4
T0,17:15:00,View,co2,458.4,WR4
T0,17:30:00,View,co2,445.4,WR4
T0,17:45:00,View,co2,451.1,WR4
T0,18:00:00,View,co2,428.3,WR4
T0,18:15:00,View,co2,420.9,WR4
T0,18:30:00,View,co2,422,WR4
T0,18:45:00,View,co2,441.9,WR4
T0,19:00:00,View,co2,452.6,WR4
T0,19:15:00,View,co2,461.5,WR4
T0,19:30:00,View,co2,457.2,WR4
T0,19:45:00,View,co2,464.3,WR4
T0,20:00:00,View,co2,456.7,WR4
T0,20:15:00,View,co2,452.1,WR4
T0,20:30:00,View,co2,450.1,WR4
T0,20:45:00,View,co2,444.3,WR4
T0,21:00:00,View,co2,436.9,WR4
T0,21:15:00,View,co2,436,WR4
T0,21:30:00,View,co2,431.7,WR4
T0,21:45:00,View,co2,433.9,WR4
T0,22:00:00,View,co2,432.2,WR4
T0,22:15:00,View,co2,433.3,WR4
T0,22:30:00,View,co2,433.2,WR4
T0,22:45:00,View,co2,432.7,WR4
T0,23:00:00,View,co2,431.1,WR4
T0,23:15:00,View,co2,431.7,WR4
T0,23:30:00,View,co2,436.4,WR4
T0,23:45:00,View,co2,436.9,WR4
T1,0:00:00,View,co2,435.8,WR4
T1,0:15:00,View,co2,441.2,WR4
T1,0:30:00,View,co2,437.6,WR4
T1,0:45:00,View,co2,436.7,WR4
T1,1:00:00,View,co2,443.6,WR4
T1,1:15:00,View,co2,434.1,WR4
T1,1:30:00,View,co2,435.9,WR4
T1,1:45:00,View,co2,441.9,WR4
T1,2:00:00,View,co2,439.5,WR4
T1,2:15:00,View,co2,445.3,WR4
T1,2:30:00,View,co2,450.5,WR4
T1,2:45:00,View,co2,448.7,WR4
T1,3:00:00,View,co2,452,WR4
T1,3:15:00,View,co2,450.6,WR4
T1,3:30:00,View,co2,463.1,WR4
T1,3:45:00,View,co2,467.8,WR4
T1,4:00:00,View,co2,464.3,WR4
T1,4:15:00,View,co2,461.6,WR4
T1,4:30:00,View,co2,457.1,WR4
T1,4:45:00,View,co2,455.5,WR4
T1,5:00:00,View,co2,453.1,WR4
T1,5:15:00,View,co2,458.6,WR4
T1,5:30:00,View,co2,461.3,WR4
T1,5:45:00,View,co2,461,WR4
T1,6:00:00,View,co2,461.9,WR4
T1,6:15:00,View,co2,465.2,WR4
T1,6:30:00,View,co2,466.1,WR4
T1,6:45:00,View,co2,473.3,WR4
T1,7:00:00,View,co2,469.5,WR4
T1,7:15:00,View,co2,466.2,WR4
T1,7:30:00,View,co2,481.9,WR4
T1,7:45:00,View,co2,480,WR4
T1,8:00:00,View,co2,474.8,WR4
T1,8:15:00,View,co2,483.1,WR4
T1,8:30:00,View,co2,477.9,WR4
T1,8:45:00,View,co2,469.1,WR4
T1,9:00:00,View,co2,469.3,WR4
T1,9:15:00,View,co2,479.9,WR4
T1,9:30:00,View,co2,491.2,WR4
T1,9:45:00,View,co2,485.2,WR4
T1,10:00:00,View,co2,484.3,WR4
T1,10:15:00,View,co2,488.6,WR4
T1,10:30:00,View,co2,487.5,WR4
T1,10:45:00,View,co2,481.5,WR4
T1,11:00:00,View,co2,502.3,WR4
T1,11:15:00,View,co2,500.5,WR4
T1,11:30:00,View,co2,485.9,WR4
T1,11:45:00,View,co2,497.2,WR4
T1,12:00:00,View,co2,474.5,WR4
T1,12:15:00,View,co2,474.8,WR4
T1,12:30:00,View,co2,501.3,WR4
T1,12:45:00,View,co2,507,WR4
T1,13:00:00,View,co2,501.6,WR4
T1,13:15:00,View,co2,520.2,WR4
T1,13:30:00,View,co2,526.2,WR4
T1,13:45:00,View,co2,528.5,WR4
T1,14:00:00,View,co2,506.8,WR4
T1,14:15:00,View,co2,473.6,WR4
T1,14:30:00,View,co2,472.1,WR4
T1,14:45:00,View,co2,489.1,WR4
T1,15:00:00,View,co2,509.3,WR4
T1,15:15:00,View,co2,513.3,WR4
T1,15:30:00,View,co2,478.5,WR4
T1,15:45:00,View,co2,463.8,WR4
T1,16:00:00,View,co2,462.3,WR4
T1,16:15:00,View,co2,464.5,WR4
T1,16:30:00,View,co2,453.9,WR4
