Day,Time,Condition,Envir,Reading,PID
T2,11:30:00,Blinds,temp,75.4,RR1
T2,11:45:00,Blinds,temp,76,RR1
T2,12:00:00,Blinds,temp,75.2,RR1
T2,12:15:00,Blinds,temp,75.4,RR1
T2,12:30:00,Blinds,temp,75.1,RR1
T2,12:45:00,Blinds,temp,75.5,RR1
T2,13:00:00,Blinds,temp,75.6,RR1
T2,13:15:00,Blinds,temp,75.1,RR1
T2,13:30:00,Blinds,temp,75.6,RR1
T2,13:45:00,Blinds,temp,75.2,RR1
T2,14:00:00,Blinds,temp,75.2,RR1
T2,14:15:00,Blinds,temp,75.2,RR1
T2,14:30:00,Blinds,temp,75.2,RR1
T2,14:45:00,Blinds,temp,75.4,RR1
T2,15:00:00,Blinds,temp,75.2,RR1
T2,15:15:00,Blinds,temp,75.4,RR1
T2,15:30:00,Blinds,temp,75.2,RR1
T2,15:45:00,Blinds,temp,75.3,RR1
T2,16:00:00,Blinds,temp,75.3,RR1
T2,16:15:00,Blinds,temp,75.3,RR1
T2,16:30:00,Blinds,temp,75.3,RR1
T2,16:45:00,Blinds,temp,75.3,RR1
T2,17:00:00,Blinds,temp,75.3,RR1
T2,17:15:00,Blinds,temp,75.4,RR1
T2,17:30:00,Blinds,temp,75.4,RR1
T2,17:45:00,Blinds,temp,75.5,RR1
T2,18:00:00,Blinds,temp,75.3,RR1
T2,18:15:00,Blinds,temp,75.3,RR1
T2,18:30:00,Blinds,temp,75.4,RR1
T2,18:45:00,Blinds,temp,75.4,RR1
T2,19:00:00,Blinds,temp,75.3,RR1
T2,19:15:00,Blinds,temp,75.1,RR1
T2,19:30:00,Blinds,temp,74.5,RR1
T2,19:45:00,Blinds,temp,74.2,RR1
T2,20:00:00,Blinds,temp,73.5,RR1
T2,20:15:00,Blinds,temp,71.9,RR1
T2,20:30:00,Blinds,temp,71.4,RR1
T2,20:45:00,Blinds,temp,72.2,RR1
T2,21:00:00,Blinds,temp,71.4,RR1
T2,21:15:00,Blinds,temp,71.5,RR1
T2,21:30:00,Blinds,temp,71.6,RR1
T2,21:45:00,Blinds,temp,71.5,RR1
T2,22:00:00,Blinds,temp,71.8,RR1
T2,22:15:00,Blinds,temp,71.6,RR1
T2,22:30:00,Blinds,temp,71.7,RR1
T2,22:45:00,Blinds,temp,71.8,RR1
T2,23:00:00,Blinds,temp,71.7,RR1
T2,23:15:00,Blinds,temp,71.9,RR1
T2,23:30:00,Blinds,temp,71.8,RR1
T2,23:45:00,Blinds,temp,71.9,RR1
T3,0:00:00,Blinds,temp,72.2,RR1
T3,0:15:00,Blinds,temp,71.7,RR1
T3,0:30:00,Blinds,temp,72.1,RR1
T3,0:45:00,Blinds,temp,71.8,RR1
T3,1:00:00,Blinds,temp,71.7,RR1
T3,1:15:00,Blinds,temp,72.1,RR1
T3,1:30:00,Blinds,temp,71.8,RR1
T3,1:45:00,Blinds,temp,71.9,RR1
