Day,Time,Condition,Envir,Reading,PID
T1,11:45:00,Blinds,pm25,0,RR1
T1,12:00:00,Blinds,pm25,0.1,RR1
T1,12:15:00,Blinds,pm25,0.1,RR1
T1,12:30:00,Blinds,pm25,0.1,RR1
T1,12:45:00,Blinds,pm25,0,RR1
T1,13:00:00,Blinds,pm25,0,RR1
T1,13:15:00,Blinds,pm25,0.1,RR1
T1,13:30:00,Blinds,pm25,0.4,RR1
T1,13:45:00,Blinds,pm25,0,RR1
T1,14:00:00,Blinds,pm25,0,RR1
T1,14:15:00,Blinds,pm25,0,RR1
T1,14:30:00,Blinds,pm25,0.1,RR1
T1,14:45:00,Blinds,pm25,0.1,RR1
T1,15:00:00,Blinds,pm25,0.1,RR1
T1,15:15:00,Blinds,pm25,0,RR1
T1,15:30:00,Blinds,pm25,0,RR1
T1,15:45:00,Blinds,pm25,0,RR1
T1,16:00:00,Blinds,pm25,0,RR1
T1,16:15:00,Blinds,pm25,0.1,RR1
T1,16:30:00,Blinds,pm25,0,RR1
T1,16:45:00,Blinds,pm25,0,RR1
T1,17:00:00,Blinds,pm25,0,RR1
T1,17:15:00,Blinds,pm25,0,RR1
T1,17:30:00,Blinds,pm25,0,RR1
T1,17:45:00,Blinds,pm25,0.1,RR1
T1,18:00:00,Blinds,pm25,0,RR1
T1,18:15:00,Blinds,pm25,0,RR1
T1,18:30:00,Blinds,pm25,0,RR1
T1,18:45:00,Blinds,pm25,0,RR1
T1,19:00:00,Blinds,pm25,0,RR1
T1,19:15:00,Blinds,pm25,0,RR1
T1,19:30:00,Blinds,pm25,0.1,RR1
T1,19:45:00,Blinds,pm25,0,RR1
T1,20:00:00,Blinds,pm25,0,RR1
T1,20:15:00,Blinds,pm25,0,RR1
T1,20:30:00,Blinds,pm25,0.3,RR1
T1,20:45:00,Blinds,pm25,0.4,RR1
T1,21:00:00,Blinds,pm25,0,RR1
T1,21:15:00,Blinds,pm25,0,RR1
T1,21:30:00,Blinds,pm25,0,RR1
T1,21:45:00,Blinds,pm25,0,RR1
T1,22:00:00,Blinds,pm25,0,RR1
T1,22:15:00,Blinds,pm25,0,RR1
T1,22:30:00,Blinds,pm25,0.1,RR1
T1,22:45:00,Blinds,pm25,0.6,RR1
T1,23:00:00,Blinds,pm25,0.1,RR1
T1,23:15:00,Blinds,pm25,0.3,RR1
T1,23:30:00,Blinds,pm25,0,RR1
T1,23:45:00,Blinds,pm25,0.3,RR1
T2,0:00:00,Blinds,pm25,0.2,RR1
T2,0:15:00,Blinds,pm25,0.1,RR1
T2,0:30:00,Blinds,pm25,0,RR1
T2,0:45:00,Blinds,pm25,0.9,RR1
T2,1:00:00,Blinds,pm25,0.1,RR1
T2,1:15:00,Blinds,pm25,0,RR1
T2,1:30:00,Blinds,pm25,0,RR1
T2,1:45:00,Blinds,pm25,0,RR1
T2,2:00:00,Blinds,pm25,0.4,RR1
T2,2:15:00,Blinds,pm25,0.6,RR1
T2,2:30:00,Blinds,pm25,0.5,RR1
T2,2:45:00,Blinds,pm25,0.3,RR1
T2,3:00:00,Blinds,pm25,0.7,RR1
T2,3:15:00,Blinds,pm25,0.1,RR1
T2,3:30:00,Blinds,pm25,0.1,RR1
T2,3:45:00,Blinds,pm25,0.2,RR1
T2,4:00:00,Blinds,pm25,0,RR1
T2,4:15:00,Blinds,pm25,0,RR1
T2,4:30:00,Blinds,pm25,0,RR1
T2,4:45:00,Blinds,pm25,0.1,RR1
T2,5:00:00,Blinds,pm25,0.3,RR1
T2,5:15:00,Blinds,pm25,0.1,RR1
T2,5:30:00,Blinds,pm25,0,RR1
T2,5:45:00,Blinds,pm25,0.1,RR1
T2,6:00:00,Blinds,pm25,0.1,RR1
T2,6:15:00,Blinds,pm25,0.2,RR1
T2,6:30:00,Blinds,pm25,0.2,RR1
T2,6:45:00,Blinds,pm25,0.3,RR1
T2,7:00:00,Blinds,pm25,0.1,RR1
T2,7:15:00,Blinds,pm25,0,RR1
T2,7:30:00,Blinds,pm25,0,RR1
T2,7:45:00,Blinds,pm25,0,RR1
T2,8:00:00,Blinds,pm25,1.1,RR1
T2,8:15:00,Blinds,pm25,0.7,RR1
T2,8:30:00,Blinds,pm25,1.2,RR1
T2,8:45:00,Blinds,pm25,0.2,RR1
T2,9:00:00,Blinds,pm25,0,RR1
T2,9:15:00,Blinds,pm25,0,RR1
T2,9:30:00,Blinds,pm25,0,RR1
T2,9:45:00,Blinds,pm25,0,RR1
T2,10:00:00,Blinds,pm25,0,RR1
T2,10:15:00,Blinds,pm25,0,RR1
T2,10:30:00,Blinds,pm25,0,RR1
T2,10:45:00,Blinds,pm25,0.4,RR1
T2,11:00:00,Blinds,pm25,1,RR1
T2,11:15:00,Blinds,pm25,0.2,RR1
T2,11:30:00,Blinds,pm25,0.1,RR1
T2,11:45:00,Blinds,pm25,0.1,RR1
T2,12:00:00,Blinds,pm25,0,RR1
T2,12:15:00,Blinds,pm25,0.1,RR1
T2,12:30:00,Blinds,pm25,0,RR1
T2,12:45:00,Blinds,pm25,0,RR1
T2,13:00:00,Blinds,pm25,0.1,RR1
T2,13:15:00,Blinds,pm25,0,RR1
T2,13:30:00,Blinds,pm25,0.1,RR1
T2,13:45:00,Blinds,pm25,0,RR1
T2,14:00:00,Blinds,pm25,0,RR1
T2,14:15:00,Blinds,pm25,0,RR1
T2,14:30:00,Blinds,pm25,0,RR1
T2,14:45:00,Blinds,pm25,0.1,RR1
T2,15:00:00,Blinds,pm25,0,RR1
T2,15:15:00,Blinds,pm25,0,RR1
T2,15:30:00,Blinds,pm25,0,RR1
T2,15:45:00,Blinds,pm25,0,RR1
T2,16:00:00,Blinds,pm25,0,RR1
T2,16:15:00,Blinds,pm25,0.1,RR1
T2,16:30:00,Blinds,pm25,0,RR1
T2,16:45:00,Blinds,pm25,0,RR1
T2,17:00:00,Blinds,pm25,0,RR1
T2,17:15:00,Blinds,pm25,0,RR1
T2,17:30:00,Blinds,pm25,0,RR1
T2,17:45:00,Blinds,pm25,0,RR1
T2,18:00:00,Blinds,pm25,0,RR1
T2,18:15:00,Blinds,pm25,0,RR1
T2,18:30:00,Blinds,pm25,0.1,RR1
