Day,Time,Condition,Envir,Reading,PID
T1,16:45:00,Blinds,light,1208.7,RR1
T1,17:00:00,Blinds,light,763.3,RR1
T1,17:15:00,Blinds,light,590.1,RR1
T1,17:30:00,Blinds,light,538.3,RR1
T1,17:45:00,Blinds,light,450.9,RR1
T1,18:00:00,Blinds,light,429.1,RR1
T1,18:15:00,Blinds,light,414.8,RR1
T1,18:30:00,Blinds,light,298.3,RR1
T1,18:45:00,Blinds,light,203.2,RR1
T1,19:00:00,Blinds,light,208,RR1
T1,19:15:00,Blinds,light,98.4,RR1
T1,19:30:00,Blinds,light,5.4,RR1
T1,19:45:00,Blinds,light,0,RR1
T1,20:00:00,Blinds,light,0.8,RR1
T1,20:15:00,Blinds,light,2.5,RR1
T1,20:30:00,Blinds,light,2.8,RR1
T1,20:45:00,Blinds,light,0.9,RR1
T1,21:00:00,Blinds,light,0,RR1
T1,21:15:00,Blinds,light,0,RR1
T1,21:30:00,Blinds,light,2,RR1
T1,21:45:00,Blinds,light,0,RR1
T1,22:00:00,Blinds,light,0,RR1
T1,22:15:00,Blinds,light,0,RR1
T1,22:30:00,Blinds,light,0.7,RR1
T1,22:45:00,Blinds,light,1.2,RR1
T1,23:00:00,Blinds,light,0.9,RR1
T1,23:15:00,Blinds,light,1,RR1
T1,23:30:00,Blinds,light,0,RR1
T1,23:45:00,Blinds,light,0.3,RR1
T2,0:00:00,Blinds,light,0,RR1
T2,0:15:00,Blinds,light,0,RR1
T2,0:30:00,Blinds,light,0.4,RR1
T2,0:45:00,Blinds,light,1.8,RR1
T2,1:00:00,Blinds,light,0,RR1
T2,1:15:00,Blinds,light,0,RR1
T2,1:30:00,Blinds,light,0,RR1
T2,1:45:00,Blinds,light,0,RR1
T2,2:00:00,Blinds,light,2.2,RR1
T2,2:15:00,Blinds,light,0,RR1
T2,2:30:00,Blinds,light,0,RR1
T2,2:45:00,Blinds,light,0,RR1
T2,3:00:00,Blinds,light,2.1,RR1
T2,3:15:00,Blinds,light,0,RR1
T2,3:30:00,Blinds,light,0,RR1
T2,3:45:00,Blinds,light,0,RR1
T2,4:00:00,Blinds,light,0,RR1
T2,4:15:00,Blinds,light,0,RR1
T2,4:30:00,Blinds,light,0,RR1
T2,4:45:00,Blinds,light,0.8,RR1
T2,5:00:00,Blinds,light,1.1,RR1
T2,5:15:00,Blinds,light,0,RR1
T2,5:30:00,Blinds,light,0,RR1
T2,5:45:00,Blinds,light,0,RR1
T2,6:00:00,Blinds,light,0,RR1
T2,6:15:00,Blinds,light,5.7,RR1
T2,6:30:00,Blinds,light,64.9,RR1
T2,6:45:00,Blinds,light,97.9,RR1
T2,7:00:00,Blinds,light,155.7,RR1
T2,7:15:00,Blinds,light,118.2,RR1
T2,7:30:00,Blinds,light,223.4,RR1
T2,7:45:00,Blinds,light,194.9,RR1
T2,8:00:00,Blinds,light,205.1,RR1
T2,8:15:00,Blinds,light,259.8,RR1
T2,8:30:00,Blinds,light,274.5,RR1
T2,8:45:00,Blinds,light,299.9,RR1
T2,9:00:00,Blinds,light,356.7,RR1
T2,9:15:00,Blinds,light,483.1,RR1
T2,9:30:00,Blinds,light,456.5,RR1
T2,9:45:00,Blinds,light,388,RR1
T2,10:00:00,Blinds,light,448.2,RR1
T2,10:15:00,Blinds,light,515.9,RR1
T2,10:30:00,Blinds,light,414.6,RR1
T2,10:45:00,Blinds,light,468.7,RR1
T2,11:00:00,Blinds,light,699.6,RR1
T2,11:15:00,Blinds,light,851.4,RR1
T2,11:30:00,Blinds,light,755.8,RR1
T2,11:45:00,Blinds,light,697.8,RR1
T2,12:00:00,Blinds,light,523.8,RR1
T2,12:15:00,Blinds,light,478.7,RR1
T2,12:30:00,Blinds,light,694.5,RR1
T2,12:45:00,Blinds,light,794.8,RR1
T2,13:00:00,Blinds,light,1041.7,RR1
T2,13:15:00,Blinds,light,1586.7,RR1
T2,13:30:00,Blinds,light,1615.6,RR1
T2,13:45:00,Blinds,light,1369.1,RR1
T2,14:00:00,Blinds,light,1486.9,RR1
T2,14:15:00,Blinds,light,1230.1,RR1
T2,14:30:00,Blinds,light,1389.5,RR1
T2,14:45:00,Blinds,light,1298.2,RR1
T2,15:00:00,Blinds,light,1343,RR1
T2,15:15:00,Blinds,light,1328.7,RR1
T2,15:30:00,Blinds,light,1223.7,RR1
T2,15:45:00,Blinds,light,1083.1,RR1
T2,16:00:00,Blinds,light,932.2,RR1
T2,16:15:00,Blinds,light,1174.3,RR1
T2,16:30:00,Blinds,light,1223.5,RR1
T2,16:45:00,Blinds,light,1181.3,RR1
T2,17:00:00,Blinds,light,1116.5,RR1
T2,17:15:00,Blinds,light,1300.6,RR1
T2,17:30:00,Blinds,light,982.8,RR1
